Tokens          Lexeme
Identifier      a
Operator        =
Real            123.4
Identifier      b
Invalid         ^
Operator        ^=
Integer         54
Invalid         q21w1
Operator        ==
Invalid         tes%tcase
Keyword         put
Separator       (
Invalid         q21w1
Separator       )
Separator       ;
Separator       $$
Invalid         $
Keyword         put
Separator       (
Identifier      b
Separator       )
Separator       ,
Keyword         put
Separator       (
Identifier      a
Keyword         return
Separator       (
Integer         123
Operator        ==
Identifier      a
Invalid         .
Invalid         1a1
Separator       )
