Tokens          Lexeme
Keyword         put
Separator       (
Identifier      please
Identifier      enter
Identifier      a
Identifier      number
Identifier      from
Integer         1
Operator        -
Integer         6
Separator       )
Separator       ;
Separator       $$
Keyword         function
Identifier      choose
Separator       (
Identifier      num
Separator       :
Keyword         int
Separator       )
Separator       {
Keyword         if
Separator       (
Identifier      num
Operator        ==
Integer         1
Separator       )
Separator       {
Keyword         return
Integer         1
Separator       ;
Separator       }
Keyword         ifend
Identifier      elseif
Separator       (
Identifier      num
Operator        ==
Integer         2
Separator       )
Separator       {
Keyword         return
Integer         2
Separator       ;
Separator       }
Keyword         ifend
Keyword         if
Separator       (
Identifier      num
Operator        ==
Integer         3
Separator       )
Separator       {
Keyword         return
Integer         3
Separator       ;
Separator       }
Keyword         ifend
Keyword         if
Separator       (
Identifier      num
Operator        ==
Integer         4
Separator       )
Separator       {
Keyword         return
Integer         4
Separator       ;
Separator       }
Keyword         ifend
Keyword         if
Separator       (
Identifier      num
Operator        ==
Integer         5
Separator       )
Separator       {
Keyword         return
Integer         5
Separator       ;
Separator       }
Keyword         ifend
Keyword         if
Separator       (
Identifier      num
Operator        ==
Integer         6
Separator       )
Separator       {
Keyword         return
Integer         6
Separator       ;
Separator       }
Keyword         ifend
Keyword         else
Separator       {
Keyword         put
Separator       (
Identifier      invalid
Identifier      number
Separator       )
Separator       ;
Separator       }
Keyword         ifend
Separator       }
Separator       $$
Keyword         int
Identifier      num
Separator       ;
Keyword         get
Separator       (
Identifier      num
Separator       )
Separator       ;
Keyword         put
Separator       (
Identifier      choose
Separator       (
Identifier      num
Separator       )
Separator       )
Separator       ;
